"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-22","2023","01","22","","2.1","","-1.9","","0.1","","17.9","","0.0","","","","","","0.0","","39","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-23","2023","01","23","","2.7","","-0.8","","0.9","","17.1","","0.0","","","","","","0.3","","40","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-24","2023","01","24","","2.8","","0.1","","1.4","","16.6","","0.0","","","","","","0.3","","38","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-25","2023","01","25","","3.6","","-1.4","","1.1","","16.9","","0.0","","","","","","0.0","","35","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-26","2023","01","26","","2.2","","0.3","","1.3","","16.7","","0.0","","","","","","0.0","","35","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-27","2023","01","27","","5.9","","-0.8","","2.6","","15.4","","0.0","","","","","","0.5","","34","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-28","2023","01","28","","1.6","","-5.6","","-2.0","","20.0","","0.0","","","","","","0.0","","34","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-29","2023","01","29","","-4.3","","-11.5","","-7.9","","25.9","","0.0","","","","","","0.0","","34","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-30","2023","01","30","","-2.6","","-13.7","","-8.2","","26.2","","0.0","","","","","","","M","34","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-01-31","2023","01","31","","-1.6","","-8.5","","-5.1","","23.1","","0.0","","","","","","0.6","","34","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-01","2023","02","01","","0.9","","-4.2","","-1.6","","19.6","","0.0","","","","","","3.3","","37","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-02","2023","02","02","","3.8","","-4.5","","-0.4","","18.4","","0.0","","","","","","0.0","","38","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-03","2023","02","03","","3.1","","-2.6","","0.2","","17.8","","0.0","","","","","","5.1","","38","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-04","2023","02","04","","3.9","","0.0","","1.9","","16.1","","0.0","","","","","","1.7","","38","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-05","2023","02","05","","4.6","","0.6","","2.6","","15.4","","0.0","","","","","","0.0","","36","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-06","2023","02","06","","3.5","","1.6","","2.6","","15.4","","0.0","","","","","","0.7","","33","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-07","2023","02","07","","3.0","","-0.2","","1.4","","16.6","","0.0","","","","","","10.0","","31","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-08","2023","02","08","","2.6","","-2.4","","0.1","","17.9","","0.0","","","","","","0.4","","31","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-09","2023","02","09","","1.7","","-0.7","","0.5","","17.5","","0.0","","","","","","7.3","","32","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-10","2023","02","10","","3.7","","0.1","","1.9","","16.1","","0.0","","","","","","7.1","","37","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-11","2023","02","11","","4.2","","-2.0","","1.1","","16.9","","0.0","","","","","","0.0","","34","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-12","2023","02","12","","1.9","","0.5","","1.2","","16.8","","0.0","","","","","","6.1","","33","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-13","2023","02","13","","4.1","","-0.3","","1.9","","16.1","","0.0","","","","","","0.3","","33","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-14","2023","02","14","","2.6","","-5.3","","-1.4","","19.4","","0.0","","","","","","2.5","","35","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-15","2023","02","15","","2.2","","-7.0","","-2.4","","20.4","","0.0","","","","","","0.0","","35","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-16","2023","02","16","","0.5","","-2.9","","-1.2","","19.2","","0.0","","","","","","7.0","","34","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-17","2023","02","17","","3.6","","-2.0","","0.8","","17.2","","0.0","","","","","","0.6","","41","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-18","2023","02","18","","5.4","","-0.5","","2.4","","15.6","","0.0","","","","","","0.4","","39","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-19","2023","02","19","","2.8","","0.0","","1.4","","16.6","","0.0","","","","","","0.1","","41","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-20","2023","02","20","","3.5","","1.9","","2.7","","15.3","","0.0","","","","","","6.0","","35","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-21","2023","02","21","","2.5","","-6.6","","-2.0","","20.0","","0.0","","","","","","0.3","","32","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-22","2023","02","22","","-6.6","","-11.7","","-9.1","","27.1","","0.0","","","","","","0.0","","32","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-23","2023","02","23","","-7.6","","-13.3","","-10.5","","28.5","","0.0","","","","","","0.2","","32","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-24","2023","02","24","","-6.3","","-15.5","","-10.9","","28.9","","0.0","","","","","","0.0","","32","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-25","2023","02","25","","-3.9","","-12.7","","-8.3","","26.3","","0.0","","","","","","14.0","","32","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-26","2023","02","26","","1.1","","-6.1","","-2.5","","20.5","","0.0","","","","","","17.1","","57","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-27","2023","02","27","","0.1","","-7.6","","-3.7","","21.7","","0.0","","","","","","0.0","","58","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-02-28","2023","02","28","","0.3","","-5.8","","-2.7","","20.7","","0.0","","","","","","0.6","","55","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-01","2023","03","01","","-0.3","","-9.6","","-5.0","","23.0","","0.0","","","","","","0.3","","53","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-02","2023","03","02","","4.2","","-2.3","","0.9","","17.1","","0.0","","","","","","6.1","","52","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-03","2023","03","03","","2.0","","-2.8","","-0.4","","18.4","","0.0","","","","","","0.3","","58","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-04","2023","03","04","","2.2","","-3.8","","-0.8","","18.8","","0.0","","","","","","0.0","","57","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-05","2023","03","05","","4.0","","-3.4","","0.3","","17.7","","0.0","","","","","","0.0","","54","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-06","2023","03","06","","3.9","","-3.9","","0.0","","18.0","","0.0","","","","","","0.0","","52","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-07","2023","03","07","","3.7","","-3.7","","0.0","","18.0","","0.0","","","","","","0.1","","51","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-08","2023","03","08","","5.6","","-3.8","","0.9","","17.1","","0.0","","","","","","0.0","","50","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-09","2023","03","09","","5.7","","-4.5","","0.6","","17.4","","0.0","","","","","","0.0","","50","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-10","2023","03","10","","6.0","","-2.5","","1.7","","16.3","","0.0","","","","","","0.0","","49","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-11","2023","03","11","","4.1","","-1.5","","1.3","","16.7","","0.0","","","","","","0.3","","46","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-12","2023","03","12","","6.5","","-1.2","","2.7","","15.3","","0.0","","","","","","1.8","","45","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-13","2023","03","13","","3.1","","-1.0","","1.0","","17.0","","0.0","","","","","","9.5","","50","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-14","2023","03","14","","2.6","","-1.8","","0.4","","17.6","","0.0","","","","","","1.1","","52","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-15","2023","03","15","","5.6","","-3.2","","1.2","","16.8","","0.0","","","","","","0.6","","47","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-16","2023","03","16","","7.6","","-6.5","","0.6","","17.4","","0.0","","","","","","0.0","","46","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-17","2023","03","17","","9.2","","-6.0","","1.6","","16.4","","0.0","","","","","","0.0","","46","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-18","2023","03","18","","12.2","","-2.0","","5.1","","12.9","","0.0","","","","","","0.0","","45","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-19","2023","03","19","","10.8","","-2.6","","4.1","","13.9","","0.0","","","","","","0.0","","44","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-20","2023","03","20","","9.3","","0.1","","4.7","","13.3","","0.0","","","","","","0.0","","42","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-21","2023","03","21","","14.1","","-1.0","","6.6","","11.4","","0.0","","","","","","0.1","","39","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-22","2023","03","22","","13.5","","-4.0","","4.8","","13.2","","0.0","","","","","","0.0","","36","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-23","2023","03","23","","7.0","","0.1","","3.6","","14.4","","0.0","","","","","","0.8","","34","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-24","2023","03","24","","5.0","","-0.3","","2.3","","15.7","","0.0","","","","","","0.2","","33","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-25","2023","03","25","","5.9","","-1.5","","2.2","","15.8","","0.0","","","","","","0.1","","32","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-26","2023","03","26","","6.1","","-1.5","","2.3","","15.7","","0.0","","","","","","0.0","","31","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-27","2023","03","27","","9.6","","-4.2","","2.7","","15.3","","0.0","","","","","","0.0","","29","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-28","2023","03","28","","10.7","","2.3","","6.5","","11.5","","0.0","","","","","","0.0","","26","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-29","2023","03","29","","13.4","","-4.1","","4.6","","13.4","","0.0","","","","","","0.1","","22","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-30","2023","03","30","","11.7","","-4.8","","3.5","","14.5","","0.0","","","","","","0.0","","20","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-03-31","2023","03","31","","4.1","","0.8","","2.4","","15.6","","0.0","","","","","","0.0","","16","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-01","2023","04","01","","4.1","","-0.6","","1.8","","16.2","","0.0","","","","","","9.9","","16","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-02","2023","04","02","","5.0","","-4.4","","0.3","","17.7","","0.0","","","","","","0.2","","16","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-03","2023","04","03","","8.1","","-6.2","","0.9","","17.1","","0.0","","","","","","2.2","","17","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-04","2023","04","04","","8.3","","-5.9","","1.2","","16.8","","0.0","","","","","","1.5","","17","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-05","2023","04","05","","6.5","","-4.1","","1.2","","16.8","","0.0","","","","","","0.0","","16","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-06","2023","04","06","","6.8","","-0.3","","3.2","","14.8","","0.0","","","","","","2.6","","14","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-07","2023","04","07","","9.9","","2.2","","6.1","","11.9","","0.0","","","","","","8.4","","11","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-08","2023","04","08","","4.3","","1.8","","3.1","","14.9","","0.0","","","","","","1.3","","5","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-09","2023","04","09","","5.8","","2.3","","4.1","","13.9","","0.0","","","","","","19.9","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-10","2023","04","10","","8.9","","-0.3","","4.3","","13.7","","0.0","","","","","","0.2","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-11","2023","04","11","","4.5","","0.2","","2.4","","15.6","","0.0","","","","","","4.3","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-12","2023","04","12","","10.5","","-2.7","","3.9","","14.1","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-13","2023","04","13","","6.6","","-1.9","","2.4","","15.6","","0.0","","","","","","0.3","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-14","2023","04","14","","9.4","","-4.1","","2.7","","15.3","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-15","2023","04","15","","6.3","","0.1","","3.2","","14.8","","0.0","","","","","","0.1","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-16","2023","04","16","","3.9","","0.6","","2.2","","15.8","","0.0","","","","","","6.8","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-17","2023","04","17","","5.5","","-1.3","","2.1","","15.9","","0.0","","","","","","1.9","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-18","2023","04","18","","3.4","","-1.2","","1.1","","16.9","","0.0","","","","","","2.3","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-19","2023","04","19","","7.5","","-1.9","","2.8","","15.2","","0.0","","","","","","0.1","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-20","2023","04","20","","6.3","","-2.9","","1.7","","16.3","","0.0","","","","","","3.6","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-21","2023","04","21","","9.1","","0.1","","4.6","","13.4","","0.0","","","","","","0.4","","0","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-22","2023","04","22","","8.7","","2.4","","5.5","","12.5","","0.0","","","","","","3.8","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-23","2023","04","23","","8.4","","3.0","","5.7","","12.3","","0.0","","","","","","6.2","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-24","2023","04","24","","12.2","","2.2","","7.2","","10.8","","0.0","","","","","","0.5","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-25","2023","04","25","","14.1","","2.5","","8.3","","9.7","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-26","2023","04","26","","11.5","","4.7","","8.1","","9.9","","0.0","","","","","","3.5","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-27","2023","04","27","","21.1","","1.1","","11.1","","6.9","","0.0","","","","","","0.1","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-28","2023","04","28","","25.7","","1.0","","13.4","","4.6","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-29","2023","04","29","","24.3","","2.2","","13.2","","4.8","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-04-30","2023","04","30","","14.1","","2.8","","8.5","","9.5","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-01","2023","05","01","","16.6","","5.0","","10.8","","7.2","","0.0","","","","","","4.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-02","2023","05","02","","25.4","","5.1","","15.3","","2.7","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-03","2023","05","03","","24.7","","5.0","","14.9","","3.1","","0.0","","","","","","0.1","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-04","2023","05","04","","25.7","","5.0","","15.4","","2.6","","0.0","","","","","","0.9","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-05","2023","05","05","","11.0","","7.3","","9.1","","8.9","","0.0","","","","","","4.5","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-06","2023","05","06","","12.3","","6.6","","9.4","","8.6","","0.0","","","","","","0.2","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-07","2023","05","07","","15.4","","6.8","","11.1","","6.9","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-08","2023","05","08","","17.1","","4.5","","10.8","","7.2","","0.0","","","","","","0.5","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-09","2023","05","09","","16.3","","7.0","","11.7","","6.3","","0.0","","","","","","0.2","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-10","2023","05","10","","20.2","","5.3","","12.8","","5.2","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-11","2023","05","11","","21.2","","3.3","","12.3","","5.7","","0.0","","","","","","0.1","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-12","2023","05","12","","24.7","","3.4","","14.1","","3.9","","0.0","","","","","","0.2","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-13","2023","05","13","","29.2","","5.0","","17.1","","0.9","","0.0","","","","","","0.1","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-14","2023","05","14","","31.1","","6.6","","18.8","","0.0","","0.8","","","","","","0.1","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-15","2023","05","15","","31.7","","7.6","","19.6","","0.0","","1.6","","","","","","0.2","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-16","2023","05","16","","28.8","","9.0","","18.9","","0.0","","0.9","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-17","2023","05","17","","28.8","","9.0","","18.9","","0.0","","0.9","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-18","2023","05","18","","27.9","","8.4","","18.2","","0.0","","0.2","","","","","","0.1","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-19","2023","05","19","","27.9","","9.3","","18.6","","0.0","","0.6","","","","","","0.2","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-20","2023","05","20","","27.2","","8.7","","17.9","","0.1","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-21","2023","05","21","","20.6","","9.0","","14.8","","3.2","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-22","2023","05","22","","13.8","","8.5","","11.2","","6.8","","0.0","","","","","","1.3","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-23","2023","05","23","","11.8","","8.2","","10.0","","8.0","","0.0","","","","","","1.4","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-24","2023","05","24","","21.8","","7.1","","14.4","","3.6","","0.0","","","","","","0.1","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-25","2023","05","25","","26.1","","5.5","","15.8","","2.2","","0.0","","","","","","0.1","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-26","2023","05","26","","27.5","","7.0","","17.3","","0.7","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-27","2023","05","27","","24.7","","8.5","","16.6","","1.4","","0.0","","","","","","0.1","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-28","2023","05","28","","22.5","","10.3","","16.4","","1.6","","0.0","","","","","","0.1","","0","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-29","2023","05","29","","22.1","","7.0","","14.5","","3.5","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-30","2023","05","30","","18.4","","6.9","","12.7","","5.3","","0.0","","","","","","0.1","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-05-31","2023","05","31","","15.6","","5.4","","10.5","","7.5","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-06-01","2023","06","01","","21.6","","3.3","","12.4","","5.6","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-06-02","2023","06","02","","22.0","","4.8","","13.4","","4.6","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-06-03","2023","06","03","","22.8","","5.0","","13.9","","4.1","","0.0","","","","","","0.0","","","","","M","","M"
"-122.95","50.13","WHISTLER - NESTERS","1100875","2023-06-04","2023","06","04","","20.6","","8.8","","14.7","","3.3","","0.0","","","","","","0.0","","","","","M","","M"
